source,target,direct_tcp,policy_mediated
customer_app,customer_db,True,False
customer_app,loan_app,True,True
customer_app,loan_db,True,False
customer_app,credit_app,True,True
customer_app,credit_db,True,False
customer_app,aml_app,True,True
customer_app,aml_db,True,False
customer_app,approval_app,True,True
customer_app,approval_db,True,False
customer_db,customer_app,True,False
customer_db,loan_app,True,False
customer_db,loan_db,True,False
customer_db,credit_app,True,False
customer_db,credit_db,True,False
customer_db,aml_app,True,False
customer_db,aml_db,True,False
customer_db,approval_app,True,False
customer_db,approval_db,True,False
loan_app,customer_app,True,True
loan_app,customer_db,True,False
loan_app,loan_db,True,False
loan_app,credit_app,True,True
loan_app,credit_db,True,False
loan_app,aml_app,True,True
loan_app,aml_db,True,False
loan_app,approval_app,True,True
loan_app,approval_db,True,False
loan_db,customer_app,True,False
loan_db,customer_db,True,False
loan_db,loan_app,True,False
loan_db,credit_app,True,False
loan_db,credit_db,True,False
loan_db,aml_app,True,False
loan_db,aml_db,True,False
loan_db,approval_app,True,False
loan_db,approval_db,True,False
credit_app,customer_app,True,True
credit_app,customer_db,True,False
credit_app,loan_app,True,True
credit_app,loan_db,True,False
credit_app,credit_db,True,False
credit_app,aml_app,True,True
credit_app,aml_db,True,False
credit_app,approval_app,True,True
credit_app,approval_db,True,False
credit_db,customer_app,True,False
credit_db,customer_db,True,False
credit_db,loan_app,True,False
credit_db,loan_db,True,False
credit_db,credit_app,True,False
credit_db,aml_app,True,False
credit_db,aml_db,True,False
credit_db,approval_app,True,False
credit_db,approval_db,True,False
aml_app,customer_app,True,True
aml_app,customer_db,True,False
aml_app,loan_app,True,True
aml_app,loan_db,True,False
aml_app,credit_app,True,True
aml_app,credit_db,True,False
aml_app,aml_db,True,False
aml_app,approval_app,True,True
aml_app,approval_db,True,False
aml_db,customer_app,True,False
aml_db,customer_db,True,False
aml_db,loan_app,True,False
aml_db,loan_db,True,False
aml_db,credit_app,True,False
aml_db,credit_db,True,False
aml_db,aml_app,True,False
aml_db,approval_app,True,False
aml_db,approval_db,True,False
approval_app,customer_app,True,True
approval_app,customer_db,True,False
approval_app,loan_app,True,True
approval_app,loan_db,True,False
approval_app,credit_app,True,True
approval_app,credit_db,True,False
approval_app,aml_app,True,True
approval_app,aml_db,True,False
approval_app,approval_db,True,False
approval_db,customer_app,True,False
approval_db,customer_db,True,False
approval_db,loan_app,True,False
approval_db,loan_db,True,False
approval_db,credit_app,True,False
approval_db,credit_db,True,False
approval_db,aml_app,True,False
approval_db,aml_db,True,False
approval_db,approval_app,True,False
