source,target
customer_app,customer_db
customer_app,loan_app
customer_app,loan_db
customer_app,credit_app
customer_app,credit_db
customer_app,aml_app
customer_app,aml_db
customer_app,approval_app
customer_app,approval_db
customer_db,customer_app
customer_db,loan_app
customer_db,loan_db
customer_db,credit_app
customer_db,credit_db
customer_db,aml_app
customer_db,aml_db
customer_db,approval_app
customer_db,approval_db
loan_app,customer_app
loan_app,customer_db
loan_app,loan_db
loan_app,credit_app
loan_app,credit_db
loan_app,aml_app
loan_app,aml_db
loan_app,approval_app
loan_app,approval_db
loan_db,customer_app
loan_db,customer_db
loan_db,loan_app
loan_db,credit_app
loan_db,credit_db
loan_db,aml_app
loan_db,aml_db
loan_db,approval_app
loan_db,approval_db
credit_app,customer_app
credit_app,customer_db
credit_app,loan_app
credit_app,loan_db
credit_app,credit_db
credit_app,aml_app
credit_app,aml_db
credit_app,approval_app
credit_app,approval_db
credit_db,customer_app
credit_db,customer_db
credit_db,loan_app
credit_db,loan_db
credit_db,credit_app
credit_db,aml_app
credit_db,aml_db
credit_db,approval_app
credit_db,approval_db
aml_app,customer_app
aml_app,customer_db
aml_app,loan_app
aml_app,loan_db
aml_app,credit_app
aml_app,credit_db
aml_app,aml_db
aml_app,approval_app
aml_app,approval_db
aml_db,customer_app
aml_db,customer_db
aml_db,loan_app
aml_db,loan_db
aml_db,credit_app
aml_db,credit_db
aml_db,aml_app
aml_db,approval_app
aml_db,approval_db
approval_app,customer_app
approval_app,customer_db
approval_app,loan_app
approval_app,loan_db
approval_app,credit_app
approval_app,credit_db
approval_app,aml_app
approval_app,aml_db
approval_app,approval_db
approval_db,customer_app
approval_db,customer_db
approval_db,loan_app
approval_db,loan_db
approval_db,credit_app
approval_db,credit_db
approval_db,aml_app
approval_db,aml_db
approval_db,approval_app
