source,target,direct_tcp,policy_mediated
customer_app,customer_db,True,False
customer_db,customer_app,True,False
loan_app,loan_db,True,False
loan_app,aml_app,False,True
loan_app,approval_app,False,True
loan_app,credit_app,False,True
loan_app,customer_app,False,True
loan_db,loan_app,True,False
credit_app,credit_db,True,False
credit_db,credit_app,True,False
aml_app,aml_db,True,False
aml_db,aml_app,True,False
approval_app,approval_db,True,False
approval_app,loan_app,False,True
approval_db,approval_app,True,False
