category,mode,total,expected_match,execution_errors,match_rate
authorized_flows,baseline,150,150,0,1.0
unauthorized_flows,baseline,240,240,0,1.0
unauthorized_flows_policy_scope,baseline,150,150,0,1.0
unauthorized_flows_structural_scope,baseline,90,90,0,1.0
cross_business_app_reachability,baseline,20,20,0,1.0
cross_business_db_reachability,baseline,20,20,0,1.0
cds_transfer,baseline,180,180,0,1.0
authorized_flows,policy_only,150,150,0,1.0
unauthorized_flows,policy_only,240,240,0,1.0
unauthorized_flows_policy_scope,policy_only,150,150,0,1.0
unauthorized_flows_structural_scope,policy_only,90,90,0,1.0
cross_business_app_reachability,policy_only,20,20,0,1.0
cross_business_db_reachability,policy_only,20,20,0,1.0
cds_transfer,policy_only,180,180,0,1.0
authorized_flows,segmentation_only,150,150,0,1.0
unauthorized_flows,segmentation_only,240,240,0,1.0
unauthorized_flows_policy_scope,segmentation_only,150,150,0,1.0
unauthorized_flows_structural_scope,segmentation_only,90,90,0,1.0
cross_business_app_reachability,segmentation_only,20,20,0,1.0
cross_business_db_reachability,segmentation_only,20,20,0,1.0
cds_transfer,segmentation_only,180,180,0,1.0
authorized_flows,proposed,150,150,0,1.0
unauthorized_flows,proposed,240,240,0,1.0
unauthorized_flows_policy_scope,proposed,150,150,0,1.0
unauthorized_flows_structural_scope,proposed,90,90,0,1.0
cross_business_app_reachability,proposed,20,20,0,1.0
cross_business_db_reachability,proposed,20,20,0,1.0
cds_transfer,proposed,180,180,0,1.0
