mode,node,business,tier,out_degree,transitive_reachable_count
baseline,customer_app,customer,app,9,9
baseline,customer_db,customer,db,9,9
baseline,loan_app,loan,app,9,9
baseline,loan_db,loan,db,9,9
baseline,credit_app,credit,app,9,9
baseline,credit_db,credit,db,9,9
baseline,aml_app,aml,app,9,9
baseline,aml_db,aml,db,9,9
baseline,approval_app,approval,app,9,9
baseline,approval_db,approval,db,9,9
policy_only,customer_app,customer,app,9,9
policy_only,customer_db,customer,db,9,9
policy_only,loan_app,loan,app,9,9
policy_only,loan_db,loan,db,9,9
policy_only,credit_app,credit,app,9,9
policy_only,credit_db,credit,db,9,9
policy_only,aml_app,aml,app,9,9
policy_only,aml_db,aml,db,9,9
policy_only,approval_app,approval,app,9,9
policy_only,approval_db,approval,db,9,9
segmentation_only,customer_app,customer,app,5,9
segmentation_only,customer_db,customer,db,1,9
segmentation_only,loan_app,loan,app,5,9
segmentation_only,loan_db,loan,db,1,9
segmentation_only,credit_app,credit,app,5,9
segmentation_only,credit_db,credit,db,1,9
segmentation_only,aml_app,aml,app,5,9
segmentation_only,aml_db,aml,db,1,9
segmentation_only,approval_app,approval,app,5,9
segmentation_only,approval_db,approval,db,1,9
proposed,customer_app,customer,app,1,1
proposed,customer_db,customer,db,1,1
proposed,loan_app,loan,app,5,9
proposed,loan_db,loan,db,1,9
proposed,credit_app,credit,app,1,1
proposed,credit_db,credit,db,1,1
proposed,aml_app,aml,app,1,1
proposed,aml_db,aml,db,1,1
proposed,approval_app,approval,app,2,9
proposed,approval_db,approval,db,1,9
