mode,round_id,experiment_run_id,decision_ms,total_ms
baseline,1,perf-baseline-r001-20260818T050057Z,1.1993027499102027,11.275707499976306
baseline,2,perf-baseline-r002-20260818T050813Z,1.223822750034742,11.39685150008063
baseline,3,perf-baseline-r003-20260818T051120Z,1.2429067498942459,11.48270224996395
baseline,4,perf-baseline-r004-20260818T051427Z,1.2203042500686934,11.44829999986996
baseline,5,perf-baseline-r005-20260818T051734Z,1.24590600000829,11.579695249906763
baseline,6,perf-baseline-r006-20260818T052453Z,1.224652499900003,11.449879499991766
baseline,7,perf-baseline-r007-20260818T052801Z,1.234032249953998,11.510004500109972
baseline,8,perf-baseline-r008-20260818T053108Z,1.2428222499920594,11.430962999838812
baseline,9,perf-baseline-r009-20260818T053415Z,1.2407057499785878,11.516839750129293
baseline,10,perf-baseline-r010-20260818T054134Z,1.248967749916119,11.605109000129232
baseline,11,perf-baseline-r011-20260818T054443Z,1.289524999947389,11.737841749891231
baseline,12,perf-baseline-r012-20260818T054754Z,1.2805702504010696,11.93199549993551
policy_only,1,perf-policy_only-r001-20260818T050157Z,1.2641387498888434,11.345639499950266
policy_only,2,perf-policy_only-r002-20260818T050506Z,1.2721539999347442,11.460092749871365
policy_only,3,perf-policy_only-r003-20260818T051222Z,1.2748125000143773,11.523702250087808
policy_only,4,perf-policy_only-r004-20260818T051528Z,1.2975594999034001,11.588896249804748
policy_only,5,perf-policy_only-r005-20260818T051836Z,1.273310999977184,11.664481000138949
policy_only,6,perf-policy_only-r006-20260818T052144Z,1.2757297499774722,11.533416750012293
policy_only,7,perf-policy_only-r007-20260818T052903Z,1.276165499916715,11.476073749804527
policy_only,8,perf-policy_only-r008-20260818T053210Z,1.279913499729446,11.533232499687074
policy_only,9,perf-policy_only-r009-20260818T053517Z,1.2657192503411352,11.387715999944703
policy_only,10,perf-policy_only-r010-20260818T053825Z,1.2854460001108237,11.633596250021583
policy_only,11,perf-policy_only-r011-20260818T054546Z,1.3291647501318948,11.931722249983068
policy_only,12,perf-policy_only-r012-20260818T054857Z,1.3185552502363862,11.882064999781505
segmentation_only,1,perf-segmentation_only-r001-20260818T050259Z,1.262869499782937,11.589317000016308
segmentation_only,2,perf-segmentation_only-r002-20260818T050607Z,1.2417744999311253,11.393032249998214
segmentation_only,3,perf-segmentation_only-r003-20260818T050914Z,1.242682249767313,11.437629749934786
segmentation_only,4,perf-segmentation_only-r004-20260818T051631Z,1.240414999983841,11.596738249863847
segmentation_only,5,perf-segmentation_only-r005-20260818T051938Z,1.2258714999688891,11.487376250101988
segmentation_only,6,perf-segmentation_only-r006-20260818T052246Z,1.2505509999982678,11.559796249798637
segmentation_only,7,perf-segmentation_only-r007-20260818T052555Z,1.2392537499863465,11.441100750062105
segmentation_only,8,perf-segmentation_only-r008-20260818T053312Z,1.2426492501163011,11.477172999775576
segmentation_only,9,perf-segmentation_only-r009-20260818T053619Z,1.227986000230885,11.43529749992922
segmentation_only,10,perf-segmentation_only-r010-20260818T053927Z,1.2412304997724277,11.502626000037708
segmentation_only,11,perf-segmentation_only-r011-20260818T054236Z,1.2560407499222492,11.597412999890366
segmentation_only,12,perf-segmentation_only-r012-20260818T055001Z,1.2908342500850267,11.694907749870254
proposed,1,perf-proposed-r001-20260818T050403Z,1.3132867501326473,11.621861749972595
proposed,2,perf-proposed-r002-20260818T050710Z,1.2809732498908488,11.431396250031867
proposed,3,perf-proposed-r003-20260818T051017Z,1.309066749968224,11.504723500138425
proposed,4,perf-proposed-r004-20260818T051324Z,1.2634907501478665,11.567578749918539
proposed,5,perf-proposed-r005-20260818T052041Z,1.2736712499190617,11.48756100008086
proposed,6,perf-proposed-r006-20260818T052349Z,1.2931670000853046,11.525784750119783
proposed,7,perf-proposed-r007-20260818T052657Z,1.2863784999126437,11.575539249975009
proposed,8,perf-proposed-r008-20260818T053005Z,1.2671192498601158,11.504131749916269
proposed,9,perf-proposed-r009-20260818T053722Z,1.275902249972205,11.444376500094222
proposed,10,perf-proposed-r010-20260818T054031Z,1.27419524983452,11.549778749895268
proposed,11,perf-proposed-r011-20260818T054340Z,1.2748642500355345,11.487618499813834
proposed,12,perf-proposed-r012-20260818T054650Z,1.3417070001651155,11.957348000123602
