scenario_id,destination,data_grade,approved,purpose,role,device_trust,source_object_id,content_json,expected_broad_policy,expected_finegrained_policy,mode,experiment_run_id,run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,1,C01-r001,200,allow,allow,true,15.578200,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,2,C01-r002,200,allow,allow,true,6.574800,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,3,C01-r003,200,allow,allow,true,7.011900,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,4,C01-r004,200,allow,allow,true,6.085800,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,5,C01-r005,200,allow,allow,true,6.279100,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,6,C01-r006,200,allow,allow,true,9.044000,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,7,C01-r007,200,allow,allow,true,6.825300,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,8,C01-r008,200,allow,allow,true,7.454900,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,9,C01-r009,200,allow,allow,true,6.204700,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,10,C01-r010,200,allow,allow,true,5.770000,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,11,C01-r011,200,allow,allow,true,8.288400,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,12,C01-r012,200,allow,allow,true,6.870000,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,13,C01-r013,200,allow,allow,true,6.258900,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,14,C01-r014,200,allow,allow,true,7.657500,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,15,C01-r015,200,allow,allow,true,5.789800,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,16,C01-r016,200,allow,allow,true,6.208800,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,17,C01-r017,200,allow,allow,true,7.133200,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,18,C01-r018,200,allow,allow,true,6.699900,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,19,C01-r019,200,allow,allow,true,8.190000,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,20,C01-r020,200,allow,allow,true,6.833600,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,21,C01-r021,200,allow,allow,true,5.552500,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,22,C01-r022,200,allow,allow,true,7.963900,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,23,C01-r023,200,allow,allow,true,5.400300,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,policy_only,policy_only-20260814T154453Z,24,C01-r024,200,allow,allow,true,6.418300,
