scenario_id,destination,data_grade,approved,purpose,role,device_trust,source_object_id,content_json,expected_baseline,expected_proposed,mode,experiment_run_id,run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,1,C01-r001,200,allow,allow,true,20.316200,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,2,C01-r002,200,allow,allow,true,6.228000,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,3,C01-r003,200,allow,allow,true,5.676100,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,4,C01-r004,200,allow,allow,true,6.778300,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,5,C01-r005,200,allow,allow,true,5.922200,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,6,C01-r006,200,allow,allow,true,6.966700,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,7,C01-r007,200,allow,allow,true,6.380000,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,8,C01-r008,200,allow,allow,true,6.407700,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,9,C01-r009,200,allow,allow,true,6.527200,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,10,C01-r010,200,allow,allow,true,5.090800,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,11,C01-r011,200,allow,allow,true,6.891100,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,12,C01-r012,200,allow,allow,true,5.138100,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,13,C01-r013,200,allow,allow,true,6.568400,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,14,C01-r014,200,allow,allow,true,7.377100,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,15,C01-r015,200,allow,allow,true,7.858500,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,16,C01-r016,200,allow,allow,true,7.176400,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,17,C01-r017,200,allow,allow,true,8.659700,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,18,C01-r018,200,allow,allow,true,6.389000,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,19,C01-r019,200,allow,allow,true,6.961100,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,proposed,proposed-20260814T022735Z,20,C01-r020,200,allow,allow,true,5.958600,
