mode,source_asset,target_asset,source_business,target_business,source_tier,target_tier,target_port,reachable,attempts,stable,elapsed_ms,error
policy_only,customer_app,customer_db,customer,customer,app,db,5432,true,3,true,1.438,
policy_only,customer_app,loan_app,customer,loan,app,app,8000,true,3,true,0.233,
policy_only,customer_app,loan_db,customer,loan,app,db,5432,true,3,true,0.248,
policy_only,customer_app,credit_app,customer,credit,app,app,8000,true,3,true,0.248,
policy_only,customer_app,credit_db,customer,credit,app,db,5432,true,3,true,0.240,
policy_only,customer_app,aml_app,customer,aml,app,app,8000,true,3,true,0.221,
policy_only,customer_app,aml_db,customer,aml,app,db,5432,true,3,true,0.253,
policy_only,customer_app,approval_app,customer,approval,app,app,8000,true,3,true,0.198,
policy_only,customer_app,approval_db,customer,approval,app,db,5432,true,3,true,0.256,
policy_only,customer_db,customer_app,customer,customer,db,app,8000,true,3,true,1.283,
policy_only,customer_db,loan_app,customer,loan,db,app,8000,true,3,true,0.359,
policy_only,customer_db,loan_db,customer,loan,db,db,5432,true,3,true,0.238,
policy_only,customer_db,credit_app,customer,credit,db,app,8000,true,3,true,0.224,
policy_only,customer_db,credit_db,customer,credit,db,db,5432,true,3,true,0.277,
policy_only,customer_db,aml_app,customer,aml,db,app,8000,true,3,true,0.226,
policy_only,customer_db,aml_db,customer,aml,db,db,5432,true,3,true,0.247,
policy_only,customer_db,approval_app,customer,approval,db,app,8000,true,3,true,0.472,
policy_only,customer_db,approval_db,customer,approval,db,db,5432,true,3,true,0.290,
policy_only,loan_app,customer_app,loan,customer,app,app,8000,true,3,true,1.688,
policy_only,loan_app,customer_db,loan,customer,app,db,5432,true,3,true,0.249,
policy_only,loan_app,loan_db,loan,loan,app,db,5432,true,3,true,0.217,
policy_only,loan_app,credit_app,loan,credit,app,app,8000,true,3,true,0.206,
policy_only,loan_app,credit_db,loan,credit,app,db,5432,true,3,true,0.233,
policy_only,loan_app,aml_app,loan,aml,app,app,8000,true,3,true,0.238,
policy_only,loan_app,aml_db,loan,aml,app,db,5432,true,3,true,0.269,
policy_only,loan_app,approval_app,loan,approval,app,app,8000,true,3,true,0.215,
policy_only,loan_app,approval_db,loan,approval,app,db,5432,true,3,true,0.265,
policy_only,loan_db,customer_app,loan,customer,db,app,8000,true,3,true,1.605,
policy_only,loan_db,customer_db,loan,customer,db,db,5432,true,3,true,0.218,
policy_only,loan_db,loan_app,loan,loan,db,app,8000,true,3,true,0.242,
policy_only,loan_db,credit_app,loan,credit,db,app,8000,true,3,true,0.243,
policy_only,loan_db,credit_db,loan,credit,db,db,5432,true,3,true,0.255,
policy_only,loan_db,aml_app,loan,aml,db,app,8000,true,3,true,0.255,
policy_only,loan_db,aml_db,loan,aml,db,db,5432,true,3,true,0.219,
policy_only,loan_db,approval_app,loan,approval,db,app,8000,true,3,true,0.223,
policy_only,loan_db,approval_db,loan,approval,db,db,5432,true,3,true,0.287,
policy_only,credit_app,customer_app,credit,customer,app,app,8000,true,3,true,1.459,
policy_only,credit_app,customer_db,credit,customer,app,db,5432,true,3,true,0.232,
policy_only,credit_app,loan_app,credit,loan,app,app,8000,true,3,true,0.174,
policy_only,credit_app,loan_db,credit,loan,app,db,5432,true,3,true,0.225,
policy_only,credit_app,credit_db,credit,credit,app,db,5432,true,3,true,0.197,
policy_only,credit_app,aml_app,credit,aml,app,app,8000,true,3,true,0.329,
policy_only,credit_app,aml_db,credit,aml,app,db,5432,true,3,true,0.233,
policy_only,credit_app,approval_app,credit,approval,app,app,8000,true,3,true,0.210,
