mode,source_asset,target_asset,source_business,target_business,source_tier,target_tier,target_port,reachable,attempts,stable,elapsed_ms,error
proposed,customer_app,customer_db,customer,customer,app,db,5432,true,3,true,2.061,
proposed,customer_app,loan_app,customer,loan,app,app,8000,false,3,true,3980.722,gaierror: [Errno -2] Name or service not known
proposed,customer_app,loan_db,customer,loan,app,db,5432,false,3,true,3962.906,gaierror: [Errno -2] Name or service not known
proposed,customer_app,credit_app,customer,credit,app,app,8000,false,3,true,3965.520,gaierror: [Errno -2] Name or service not known
proposed,customer_app,credit_db,customer,credit,app,db,5432,false,3,true,3972.875,gaierror: [Errno -2] Name or service not known
proposed,customer_app,aml_app,customer,aml,app,app,8000,false,3,true,3967.633,gaierror: [Errno -2] Name or service not known
proposed,customer_app,aml_db,customer,aml,app,db,5432,false,3,true,3969.982,gaierror: [Errno -2] Name or service not known
proposed,customer_app,approval_app,customer,approval,app,app,8000,false,3,true,3971.863,gaierror: [Errno -2] Name or service not known
proposed,customer_app,approval_db,customer,approval,app,db,5432,false,3,true,3965.360,gaierror: [Errno -2] Name or service not known
proposed,customer_db,customer_app,customer,customer,db,app,8000,true,3,true,1.559,
proposed,customer_db,loan_app,customer,loan,db,app,8000,false,3,true,3975.620,gaierror: [Errno -2] Name or service not known
proposed,customer_db,loan_db,customer,loan,db,db,5432,false,3,true,3962.767,gaierror: [Errno -2] Name or service not known
proposed,customer_db,credit_app,customer,credit,db,app,8000,false,3,true,3968.954,gaierror: [Errno -2] Name or service not known
proposed,customer_db,credit_db,customer,credit,db,db,5432,false,3,true,3962.603,gaierror: [Errno -2] Name or service not known
proposed,customer_db,aml_app,customer,aml,db,app,8000,false,3,true,3971.947,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
proposed,customer_db,aml_db,customer,aml,db,db,5432,false,3,true,3965.136,gaierror: [Errno -2] Name or service not known
proposed,customer_db,approval_app,customer,approval,db,app,8000,false,3,true,3985.016,gaierror: [Errno -2] Name or service not known
