mode,source_asset,target_asset,source_business,target_business,source_tier,target_tier,target_port,reachable,attempts,stable,elapsed_ms,error
segmentation_only,customer_app,customer_db,customer,customer,app,db,5432,true,3,true,1.400,
segmentation_only,customer_app,loan_app,customer,loan,app,app,8000,false,3,true,3999.436,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
segmentation_only,customer_app,loan_db,customer,loan,app,db,5432,false,3,true,3970.346,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
segmentation_only,customer_app,credit_app,customer,credit,app,app,8000,false,3,true,3972.611,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
segmentation_only,customer_app,credit_db,customer,credit,app,db,5432,false,3,true,3955.886,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
segmentation_only,customer_app,aml_app,customer,aml,app,app,8000,false,3,true,3986.298,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
segmentation_only,customer_app,aml_db,customer,aml,app,db,5432,false,3,true,3975.223,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
segmentation_only,customer_app,approval_app,customer,approval,app,app,8000,false,3,true,3988.456,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
segmentation_only,customer_app,approval_db,customer,approval,app,db,5432,false,3,true,3967.441,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
segmentation_only,customer_db,customer_app,customer,customer,db,app,8000,true,3,true,1.422,
segmentation_only,customer_db,loan_app,customer,loan,db,app,8000,false,3,true,3974.097,gaierror: [Errno -2] Name or service not known
segmentation_only,customer_db,loan_db,customer,loan,db,db,5432,false,3,true,3963.278,gaierror: [Errno -2] Name or service not known
segmentation_only,customer_db,credit_app,customer,credit,db,app,8000,false,3,true,3963.473,gaierror: [Errno -2] Name or service not known
segmentation_only,customer_db,credit_db,customer,credit,db,db,5432,false,3,true,3962.717,gaierror: [Errno -2] Name or service not known
segmentation_only,customer_db,aml_app,customer,aml,db,app,8000,false,3,true,3959.988,gaierror: [Errno -2] Name or service not known
segmentation_only,customer_db,aml_db,customer,aml,db,db,5432,false,3,true,3970.592,gaierror: [Errno -2] Name or service not known
segmentation_only,customer_db,approval_app,customer,approval,db,app,8000,false,3,true,3945.148,gaierror: [Errno -2] Name or service not known
segmentation_only,customer_db,approval_db,customer,approval,db,db,5432,false,3,true,3976.147,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_app,customer_app,loan,customer,app,app,8000,false,3,true,3961.342,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_app,customer_db,loan,customer,app,db,5432,false,3,true,3966.403,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_app,loan_db,loan,loan,app,db,5432,true,3,true,0.418,
segmentation_only,loan_app,credit_app,loan,credit,app,app,8000,false,3,true,3963.850,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_app,credit_db,loan,credit,app,db,5432,false,3,true,3972.925,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_app,aml_app,loan,aml,app,app,8000,false,3,true,3978.671,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_app,aml_db,loan,aml,app,db,5432,false,3,true,3987.318,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_app,approval_app,loan,approval,app,app,8000,false,3,true,3978.114,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_app,approval_db,loan,approval,app,db,5432,false,3,true,3973.747,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_db,customer_app,loan,customer,db,app,8000,false,3,true,3969.548,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_db,customer_db,loan,customer,db,db,5432,false,3,true,3956.962,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_db,loan_app,loan,loan,db,app,8000,true,3,true,0.451,
segmentation_only,loan_db,credit_app,loan,credit,db,app,8000,false,3,true,3966.577,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_db,credit_db,loan,credit,db,db,5432,false,3,true,3966.208,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_db,aml_app,loan,aml,db,app,8000,false,3,true,3975.371,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_db,aml_db,loan,aml,db,db,5432,false,3,true,3973.095,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_db,approval_app,loan,approval,db,app,8000,false,3,true,3967.086,gaierror: [Errno -2] Name or service not known
segmentation_only,loan_db,approval_db,loan,approval,db,db,5432,false,3,true,3979.508,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_app,customer_app,credit,customer,app,app,8000,false,3,true,3960.698,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_app,customer_db,credit,customer,app,db,5432,false,3,true,3975.863,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_app,loan_app,credit,loan,app,app,8000,false,3,true,3969.718,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_app,loan_db,credit,loan,app,db,5432,false,3,true,3970.583,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_app,credit_db,credit,credit,app,db,5432,true,3,true,0.544,
segmentation_only,credit_app,aml_app,credit,aml,app,app,8000,false,3,true,3975.852,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_app,aml_db,credit,aml,app,db,5432,false,3,true,3963.601,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_app,approval_app,credit,approval,app,app,8000,false,3,true,3963.497,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_app,approval_db,credit,approval,app,db,5432,false,3,true,3964.437,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_db,customer_app,credit,customer,db,app,8000,false,3,true,3961.617,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_db,customer_db,credit,customer,db,db,5432,false,3,true,3983.650,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_db,loan_app,credit,loan,db,app,8000,false,3,true,3977.255,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_db,loan_db,credit,loan,db,db,5432,false,3,true,3963.713,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_db,credit_app,credit,credit,db,app,8000,true,3,true,0.431,
segmentation_only,credit_db,aml_app,credit,aml,db,app,8000,false,3,true,3963.231,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_db,aml_db,credit,aml,db,db,5432,false,3,true,3963.175,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_db,approval_app,credit,approval,db,app,8000,false,3,true,3978.083,gaierror: [Errno -2] Name or service not known
segmentation_only,credit_db,approval_db,credit,approval,db,db,5432,false,3,true,3960.824,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_app,customer_app,aml,customer,app,app,8000,false,3,true,3978.507,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_app,customer_db,aml,customer,app,db,5432,false,3,true,3972.208,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_app,loan_app,aml,loan,app,app,8000,false,3,true,3964.383,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_app,loan_db,aml,loan,app,db,5432,false,3,true,3970.859,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_app,credit_app,aml,credit,app,app,8000,false,3,true,3972.007,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_app,credit_db,aml,credit,app,db,5432,false,3,true,3965.960,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_app,aml_db,aml,aml,app,db,5432,true,3,true,0.646,
segmentation_only,aml_app,approval_app,aml,approval,app,app,8000,false,3,true,3974.840,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_app,approval_db,aml,approval,app,db,5432,false,3,true,3972.318,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_db,customer_app,aml,customer,db,app,8000,false,3,true,3968.403,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_db,customer_db,aml,customer,db,db,5432,false,3,true,3968.241,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_db,loan_app,aml,loan,db,app,8000,false,3,true,3973.323,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_db,loan_db,aml,loan,db,db,5432,false,3,true,3968.536,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_db,credit_app,aml,credit,db,app,8000,false,3,true,3960.047,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_db,credit_db,aml,credit,db,db,5432,false,3,true,3978.583,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_db,aml_app,aml,aml,db,app,8000,true,3,true,0.790,
segmentation_only,aml_db,approval_app,aml,approval,db,app,8000,false,3,true,3971.907,gaierror: [Errno -2] Name or service not known
segmentation_only,aml_db,approval_db,aml,approval,db,db,5432,false,3,true,3964.634,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_app,customer_app,approval,customer,app,app,8000,false,3,true,3971.127,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_app,customer_db,approval,customer,app,db,5432,false,3,true,3972.245,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_app,loan_app,approval,loan,app,app,8000,false,3,true,3972.095,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_app,loan_db,approval,loan,app,db,5432,false,3,true,3975.244,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_app,credit_app,approval,credit,app,app,8000,false,3,true,3970.177,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_app,credit_db,approval,credit,app,db,5432,false,3,true,3962.473,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_app,aml_app,approval,aml,app,app,8000,false,3,true,3970.647,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_app,aml_db,approval,aml,app,db,5432,false,3,true,3974.130,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_app,approval_db,approval,approval,app,db,5432,true,3,true,0.643,
segmentation_only,approval_db,customer_app,approval,customer,db,app,8000,false,3,true,3958.533,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_db,customer_db,approval,customer,db,db,5432,false,3,true,3964.921,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_db,loan_app,approval,loan,db,app,8000,false,3,true,3965.684,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_db,loan_db,approval,loan,db,db,5432,false,3,true,3976.249,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_db,credit_app,approval,credit,db,app,8000,false,3,true,3958.623,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_db,credit_db,approval,credit,db,db,5432,false,3,true,3971.334,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_db,aml_app,approval,aml,db,app,8000,false,3,true,3964.023,gaierror: [Errno -2] Name or service not known
segmentation_only,approval_db,aml_db,approval,aml,db,db,5432,false,3,true,3975.857,gaierror: [Errno -2] Name or service not known
