mode,experiment_run_id,flow,batch_id,request_id,status_code,latency_ms,error
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,1,200,13.365000,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,2,200,14.447900,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,3,200,14.728000,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,4,200,14.181800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,5,200,14.713400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,6,200,14.987300,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,7,200,14.548600,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,8,200,14.350000,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,9,200,15.034800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,10,200,14.254100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,11,200,14.928400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,12,200,14.365200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,13,200,14.958400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,14,200,14.748200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,15,200,14.874500,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,16,200,15.187800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,17,200,16.330100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,18,200,21.729600,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,19,200,19.007800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,20,200,18.750200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,21,200,17.419500,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,22,200,15.784200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,23,200,15.271800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,24,200,16.551100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,25,200,14.887200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,26,200,14.882800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,27,200,15.545100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,28,200,16.652400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,29,200,15.922300,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,30,200,15.750600,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,31,200,15.761400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,32,200,16.078900,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,33,200,15.426900,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,34,200,15.089400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,35,200,15.556400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,36,200,17.532800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,37,200,17.890000,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,38,200,15.976800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,39,200,17.023600,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,40,200,16.914100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,41,200,17.696400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,42,200,15.369400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,43,200,15.065400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,44,200,15.336000,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,45,200,14.395300,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,46,200,15.978800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,47,200,15.982700,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,48,200,16.131300,
