mode,round_id,order_position,experiment_run_id,flow,batch_id,request_id,status_code,latency_ms,error
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,1,200,14.151400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,2,200,13.743200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,3,200,13.953300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,4,200,13.573400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,5,200,14.152700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,6,200,14.242600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,7,200,14.247200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,8,200,13.643400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,9,200,14.025400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,10,200,14.732400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,11,200,13.894100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,12,200,14.427200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,13,200,13.883800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,14,200,14.665900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,15,200,13.763100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,16,200,13.950400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,17,200,14.029400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,18,200,13.667000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,19,200,14.220300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,20,200,14.217700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,21,200,13.863600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,22,200,14.069800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,23,200,14.400000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,24,200,16.139300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,25,200,14.253000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,26,200,14.378800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,27,200,14.463100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,28,200,14.720900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,29,200,14.562000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,30,200,14.179100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,31,200,13.855900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,32,200,13.554900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,33,200,14.203200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,34,200,14.419400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,35,200,15.325100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,36,200,14.117100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,37,200,14.791100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,38,200,13.332700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,39,200,13.545300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,40,200,14.883100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,41,200,13.952600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,42,200,14.192600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,43,200,13.876800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,44,200,13.432400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,45,200,13.510800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,46,200,13.905200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,47,200,13.822700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,48,200,14.266900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,49,200,14.150800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,50,200,15.276400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,51,200,14.904600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,52,200,14.712100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,53,200,14.422100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,54,200,13.743300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,55,200,14.167500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,56,200,14.501100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,57,200,14.649700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,58,200,13.998700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,59,200,14.017800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,60,200,14.082400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,61,200,14.233300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,62,200,14.151100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,63,200,15.020100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,64,200,13.862100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,65,200,13.351200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,66,200,14.487400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,67,200,14.569600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,68,200,14.128000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,69,200,13.659100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,70,200,13.732000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,71,200,13.637400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,72,200,14.022800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,73,200,13.873700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,74,200,13.429200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,75,200,13.767700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,76,200,14.286800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,77,200,14.275500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,78,200,14.078200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,79,200,14.015500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,80,200,13.624600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,81,200,13.910200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,82,200,13.630000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,83,200,14.117200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,84,200,13.800900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,85,200,14.009500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,86,200,13.814100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,87,200,13.514900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,88,200,14.272800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,89,200,14.467500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,90,200,14.241800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,91,200,13.888900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,92,200,14.369600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,93,200,13.564300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,94,200,14.278600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,95,200,24.725000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,96,200,14.466600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,97,200,14.369400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,98,200,15.287500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,99,200,14.253100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,100,200,13.455500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,101,200,14.638200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,102,200,14.047600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,103,200,14.250400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,104,200,14.580000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,105,200,14.316200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,106,200,13.862300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,107,200,15.171400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,108,200,14.358000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,109,200,13.747500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,110,200,13.952300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,111,200,13.866000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,112,200,13.986500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,113,200,13.735500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,114,200,13.808400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,115,200,14.143400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,116,200,14.190900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,117,200,13.791200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,118,200,13.667100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,119,200,13.794600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,120,200,13.881900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,121,200,14.361600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,122,200,14.446800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,123,200,13.688100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,124,200,14.581800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,125,200,14.076300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,126,200,14.912800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,127,200,14.949600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,128,200,15.248600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,129,200,15.680300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,130,200,15.138300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,131,200,15.253900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,132,200,14.686300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,133,200,15.385600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,134,200,14.243100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,135,200,14.349100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,136,200,14.206400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,137,200,13.935400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,138,200,13.524300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,139,200,14.196300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,140,200,14.961900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,141,200,14.513100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,142,200,14.557000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,143,200,14.060400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,144,200,13.722400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,145,200,13.788800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,146,200,13.532700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,147,200,13.532900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,148,200,13.712200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,149,200,13.848500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,150,200,13.567700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,151,200,13.725300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,152,200,15.983200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,153,200,17.021000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,154,200,14.703700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,155,200,14.094900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,156,200,14.488600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,157,200,14.449300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,158,200,13.954800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,159,200,14.338900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,160,200,14.471100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,161,200,14.828900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,162,200,14.206300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,163,200,14.106000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,164,200,14.700200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,165,200,14.983500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,166,200,14.761800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,167,200,14.566000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,168,200,14.553100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,169,200,14.254000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,170,200,14.474800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,171,200,13.806400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,172,200,14.360800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,173,200,13.844000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,174,200,14.259900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,175,200,14.500400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,176,200,14.081300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,177,200,14.368200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,178,200,13.596900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,179,200,13.872300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,180,200,14.457000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,181,200,14.150500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,182,200,14.153400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,183,200,14.159400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,184,200,13.618200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,185,200,13.912500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,186,200,13.711300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,187,200,13.578700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,188,200,13.989000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,189,200,13.500500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,190,200,14.737700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,191,200,14.498700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,192,200,14.434600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,193,200,13.443500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,194,200,13.647800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,195,200,14.213200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,196,200,16.553200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,197,200,15.175000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,198,200,14.375500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,199,200,13.768000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,1,200,200,13.878800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,1,200,14.202900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,2,200,14.655300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,3,200,14.460300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,4,200,13.958300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,5,200,13.924100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,6,200,14.164000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,7,200,13.531900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,8,200,14.378300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,9,200,13.802000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,10,200,13.746600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,11,200,14.090100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,12,200,14.508000,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,13,200,13.188600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,14,200,14.388300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,15,200,14.934700,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,16,200,14.374500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,17,200,14.099800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,18,200,14.028900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,19,200,14.268200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,20,200,13.753200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,21,200,14.176100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,22,200,15.917200,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,23,200,15.725900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,24,200,17.827100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,25,200,22.118100,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,26,200,17.698600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,27,200,16.592400,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,28,200,18.895600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,29,200,18.215600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,30,200,20.086300,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,31,200,19.268600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,32,200,16.481800,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,33,200,19.426500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,34,200,20.169900,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,35,200,21.332500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,36,200,16.249600,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,37,200,14.763500,
baseline,9,1,perf-baseline-r009-20260818T025336Z,loan_to_customer,2,38,200,14.295200,
