scenario_id,entry_point,source_service,source_business,destination,method,path,action,role,device_trust,purpose,data_grade,claimed_source_service,claimed_source_business,signature_mode,violation_type,expected_baseline,expected_proposed,mode,run_id,experiment_run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,1,baseline-20260814T012845Z,A01-r001,200,allow,allow,true,27.470500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,2,baseline-20260814T012845Z,A01-r002,200,allow,allow,true,14.546300,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,3,baseline-20260814T012845Z,A01-r003,200,allow,allow,true,14.367000,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,4,baseline-20260814T012845Z,A01-r004,200,allow,allow,true,14.886600,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,5,baseline-20260814T012845Z,A01-r005,200,allow,allow,true,14.036400,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,6,baseline-20260814T012845Z,A01-r006,200,allow,allow,true,14.309400,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,7,baseline-20260814T012845Z,A01-r007,200,allow,allow,true,14.977000,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,8,baseline-20260814T012845Z,A01-r008,200,allow,allow,true,14.128600,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,9,baseline-20260814T012845Z,A01-r009,200,allow,allow,true,13.899900,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,10,baseline-20260814T012845Z,A01-r010,200,allow,allow,true,14.420700,
