scenario_id,entry_point,source_service,source_business,destination,method,path,action,role,device_trust,purpose,data_grade,claimed_source_service,claimed_source_business,signature_mode,violation_type,expected_broad_policy,expected_finegrained_policy,mode,run_id,experiment_run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,1,policy_only-20260814T154448Z,A01-r001,200,allow,allow,true,25.001400,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,2,policy_only-20260814T154448Z,A01-r002,200,allow,allow,true,15.908500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,3,policy_only-20260814T154448Z,A01-r003,200,allow,allow,true,14.670000,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,4,policy_only-20260814T154448Z,A01-r004,200,allow,allow,true,14.238700,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,5,policy_only-20260814T154448Z,A01-r005,200,allow,allow,true,16.444100,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,6,policy_only-20260814T154448Z,A01-r006,200,allow,allow,true,14.225500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,7,policy_only-20260814T154448Z,A01-r007,200,allow,allow,true,14.291600,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,8,policy_only-20260814T154448Z,A01-r008,200,allow,allow,true,16.417500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,9,policy_only-20260814T154448Z,A01-r009,200,allow,allow,true,15.199900,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,10,policy_only-20260814T154448Z,A01-r010,200,allow,allow,true,13.585500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,11,policy_only-20260814T154448Z,A01-r011,200,allow,allow,true,14.134000,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,12,policy_only-20260814T154448Z,A01-r012,200,allow,allow,true,14.567500,
