scenario_id,entry_point,source_service,source_business,destination,method,path,action,role,device_trust,purpose,data_grade,claimed_source_service,claimed_source_business,signature_mode,violation_type,expected_broad_policy,expected_finegrained_policy,mode,run_id,experiment_run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,1,proposed-20260818T044306Z,A01-r001,200,allow,allow,true,26.411700,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,1,proposed-20260818T044306Z,A02-r001,200,allow,allow,true,25.013200,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,1,proposed-20260818T044306Z,A03-r001,200,allow,allow,true,21.853200,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,proposed,1,proposed-20260818T044306Z,A04-r001,200,allow,allow,true,20.065200,
A05,call,approval,approval,loan,GET,/loan-review/CASE-0001,read_review_package,loan_approver,trusted,loan_approval,S,,,,,allow,allow,proposed,1,proposed-20260818T044306Z,A05-r001,200,allow,allow,true,40.537400,
U01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_approver,trusted,loan_screening,S,,,,role_mismatch,allow,deny,proposed,1,proposed-20260818T044306Z,U01-r001,403,deny,deny,true,6.122900,
U02,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_approval,S,,,,purpose_mismatch,allow,deny,proposed,1,proposed-20260818T044306Z,U02-r001,403,deny,deny,true,7.788800,
U03,call,loan,loan,customer,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,action_mismatch,allow,deny,proposed,1,proposed-20260818T044306Z,U03-r001,403,deny,deny,true,6.332500,
U04,call,customer,customer,loan,GET,/loan-review/CASE-0001,read_review_package,loan_reviewer,trusted,loan_screening,S,,,,reverse_direction,allow,deny,proposed,1,proposed-20260818T044306Z,U04-r001,403,deny,deny,true,30.367200,
U05,call,approval,approval,credit,POST,/credit-assessment,request_credit_assessment,loan_approver,trusted,loan_approval,S,,,,unrelated_cross_business,allow,deny,proposed,1,proposed-20260818T044306Z,U05-r001,403,deny,deny,true,6.591000,
U06,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,untrusted,loan_screening,S,,,,untrusted_device,deny,deny,proposed,1,proposed-20260818T044306Z,U06-r001,403,deny,deny,true,6.766200,
U07,direct,,,loan,GET,/loan-review/CASE-0001,read_review_package,loan_approver,trusted,loan_approval,S,unknown,unknown,missing,unregistered_workload,deny,deny,proposed,1,proposed-20260818T044306Z,U07-r001,403,deny,deny,true,27.990900,
U08,direct,,,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,loan,loan,invalid,identity_spoofing,deny,deny,proposed,1,proposed-20260818T044306Z,U08-r001,403,deny,deny,true,7.615800,
