mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
baseline,policyspace-baseline-20260818T014436Z,PS-aml-approval-loan_approver-loan_approval,aml,approval,loan_approver,loan_approval,/approval-requests,POST,200,allow,23.915500,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-approval-loan_approver-loan_screening,aml,approval,loan_approver,loan_screening,/approval-requests,POST,200,allow,15.945300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-approval-loan_reviewer-loan_approval,aml,approval,loan_reviewer,loan_approval,/approval-requests,POST,200,allow,16.943500,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-approval-loan_reviewer-loan_screening,aml,approval,loan_reviewer,loan_screening,/approval-requests,POST,200,allow,15.906400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-credit-loan_approver-loan_approval,aml,credit,loan_approver,loan_approval,/credit-assessment,POST,200,allow,16.939800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-credit-loan_approver-loan_screening,aml,credit,loan_approver,loan_screening,/credit-assessment,POST,200,allow,15.671300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-credit-loan_reviewer-loan_approval,aml,credit,loan_reviewer,loan_approval,/credit-assessment,POST,200,allow,16.488900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-credit-loan_reviewer-loan_screening,aml,credit,loan_reviewer,loan_screening,/credit-assessment,POST,200,allow,16.674100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-customer-loan_approver-loan_approval,aml,customer,loan_approver,loan_approval,/customer-profile/CASE-0001,GET,200,allow,14.698800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-customer-loan_approver-loan_screening,aml,customer,loan_approver,loan_screening,/customer-profile/CASE-0001,GET,200,allow,14.474700,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-customer-loan_reviewer-loan_approval,aml,customer,loan_reviewer,loan_approval,/customer-profile/CASE-0001,GET,200,allow,15.091800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-customer-loan_reviewer-loan_screening,aml,customer,loan_reviewer,loan_screening,/customer-profile/CASE-0001,GET,200,allow,14.105500,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-loan-loan_approver-loan_approval,aml,loan,loan_approver,loan_approval,/loan-review/CASE-0001,GET,200,allow,16.487400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-loan-loan_approver-loan_screening,aml,loan,loan_approver,loan_screening,/loan-review/CASE-0001,GET,200,allow,14.940700,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-loan-loan_reviewer-loan_approval,aml,loan,loan_reviewer,loan_approval,/loan-review/CASE-0001,GET,200,allow,15.317800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-aml-loan-loan_reviewer-loan_screening,aml,loan,loan_reviewer,loan_screening,/loan-review/CASE-0001,GET,200,allow,14.443900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-aml-loan_approver-loan_approval,approval,aml,loan_approver,loan_approval,/aml-screening,POST,200,allow,20.757100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-aml-loan_approver-loan_screening,approval,aml,loan_approver,loan_screening,/aml-screening,POST,200,allow,16.787300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-aml-loan_reviewer-loan_approval,approval,aml,loan_reviewer,loan_approval,/aml-screening,POST,200,allow,18.196500,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-aml-loan_reviewer-loan_screening,approval,aml,loan_reviewer,loan_screening,/aml-screening,POST,200,allow,17.167100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-credit-loan_approver-loan_approval,approval,credit,loan_approver,loan_approval,/credit-assessment,POST,200,allow,17.168800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-credit-loan_approver-loan_screening,approval,credit,loan_approver,loan_screening,/credit-assessment,POST,200,allow,17.262600,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-credit-loan_reviewer-loan_approval,approval,credit,loan_reviewer,loan_approval,/credit-assessment,POST,200,allow,16.571000,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-credit-loan_reviewer-loan_screening,approval,credit,loan_reviewer,loan_screening,/credit-assessment,POST,200,allow,16.217100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-customer-loan_approver-loan_approval,approval,customer,loan_approver,loan_approval,/customer-profile/CASE-0001,GET,200,allow,14.170800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-customer-loan_approver-loan_screening,approval,customer,loan_approver,loan_screening,/customer-profile/CASE-0001,GET,200,allow,13.739100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-customer-loan_reviewer-loan_approval,approval,customer,loan_reviewer,loan_approval,/customer-profile/CASE-0001,GET,200,allow,14.867900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-customer-loan_reviewer-loan_screening,approval,customer,loan_reviewer,loan_screening,/customer-profile/CASE-0001,GET,200,allow,14.660900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-loan-loan_approver-loan_approval,approval,loan,loan_approver,loan_approval,/loan-review/CASE-0001,GET,200,allow,14.130200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-loan-loan_approver-loan_screening,approval,loan,loan_approver,loan_screening,/loan-review/CASE-0001,GET,200,allow,14.415800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-loan-loan_reviewer-loan_approval,approval,loan,loan_reviewer,loan_approval,/loan-review/CASE-0001,GET,200,allow,13.953600,,allow,baseline_broad_authenticated_access,false
