mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,path,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
baseline,policyspace-baseline-20260818T042521Z,PS-aml-approval-loan_approver-loan_approval,aml,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,27.058400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-approval-loan_approver-loan_screening,aml,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,17.165300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-approval-loan_reviewer-loan_approval,aml,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,17.547900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-approval-loan_reviewer-loan_screening,aml,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,16.280900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-credit-loan_approver-loan_approval,aml,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,18.053800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-credit-loan_approver-loan_screening,aml,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,17.710000,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-credit-loan_reviewer-loan_approval,aml,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,16.276600,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-credit-loan_reviewer-loan_screening,aml,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,17.740900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-customer-loan_approver-loan_approval,aml,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,15.729000,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-customer-loan_approver-loan_screening,aml,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,14.468300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-customer-loan_reviewer-loan_approval,aml,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,14.030000,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-customer-loan_reviewer-loan_screening,aml,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,14.736200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-loan-loan_approver-loan_approval,aml,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,17.219000,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-loan-loan_approver-loan_screening,aml,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.311400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-loan-loan_reviewer-loan_approval,aml,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,14.193100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-aml-loan-loan_reviewer-loan_screening,aml,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.115000,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-aml-loan_approver-loan_approval,approval,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,40.897900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-aml-loan_approver-loan_screening,approval,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,16.024200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-aml-loan_reviewer-loan_approval,approval,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,16.628900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-aml-loan_reviewer-loan_screening,approval,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,16.036900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-credit-loan_approver-loan_approval,approval,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,16.160800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-credit-loan_approver-loan_screening,approval,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,16.090400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-credit-loan_reviewer-loan_approval,approval,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,14.608100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-credit-loan_reviewer-loan_screening,approval,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,16.333100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-customer-loan_approver-loan_approval,approval,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,13.701200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-customer-loan_approver-loan_screening,approval,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,14.830100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-customer-loan_reviewer-loan_approval,approval,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,15.073200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-customer-loan_reviewer-loan_screening,approval,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,13.746100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-loan-loan_approver-loan_approval,approval,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,13.388700,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-loan-loan_approver-loan_screening,approval,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,13.121300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-loan-loan_reviewer-loan_approval,approval,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,14.618200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-approval-loan-loan_reviewer-loan_screening,approval,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,14.259200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-aml-loan_approver-loan_approval,credit,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,19.349700,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-aml-loan_approver-loan_screening,credit,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,17.973500,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-aml-loan_reviewer-loan_approval,credit,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,15.077500,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-aml-loan_reviewer-loan_screening,credit,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,15.549900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-approval-loan_approver-loan_approval,credit,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,15.898100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-approval-loan_approver-loan_screening,credit,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,14.739200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-approval-loan_reviewer-loan_approval,credit,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,15.469800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-approval-loan_reviewer-loan_screening,credit,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,16.727400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-customer-loan_approver-loan_approval,credit,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,16.165700,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-customer-loan_approver-loan_screening,credit,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,14.998600,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-customer-loan_reviewer-loan_approval,credit,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,14.842400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-customer-loan_reviewer-loan_screening,credit,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,15.586800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-loan-loan_approver-loan_approval,credit,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.673700,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-loan-loan_approver-loan_screening,credit,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,16.062800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-loan-loan_reviewer-loan_approval,credit,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,18.132300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-credit-loan-loan_reviewer-loan_screening,credit,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,16.231700,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-aml-loan_approver-loan_approval,customer,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,37.005200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-aml-loan_approver-loan_screening,customer,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,17.910300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-aml-loan_reviewer-loan_approval,customer,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,17.348900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-aml-loan_reviewer-loan_screening,customer,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,15.961400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-approval-loan_approver-loan_approval,customer,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,16.094000,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-approval-loan_approver-loan_screening,customer,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,16.622400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-approval-loan_reviewer-loan_approval,customer,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,16.235700,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-approval-loan_reviewer-loan_screening,customer,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,16.177300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-credit-loan_approver-loan_approval,customer,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,16.705600,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-credit-loan_approver-loan_screening,customer,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,16.947900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-credit-loan_reviewer-loan_approval,customer,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,17.755300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-credit-loan_reviewer-loan_screening,customer,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,16.219600,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-loan-loan_approver-loan_approval,customer,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,13.927500,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-loan-loan_approver-loan_screening,customer,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.242400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-loan-loan_reviewer-loan_approval,customer,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,13.927900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-customer-loan-loan_reviewer-loan_screening,customer,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,14.264300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-aml-loan_approver-loan_approval,loan,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,31.175800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-aml-loan_approver-loan_screening,loan,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,16.168100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-aml-loan_reviewer-loan_approval,loan,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,15.880400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-aml-loan_reviewer-loan_screening,loan,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,16.240600,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-approval-loan_approver-loan_approval,loan,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,16.917500,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-approval-loan_approver-loan_screening,loan,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,16.504300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-approval-loan_reviewer-loan_approval,loan,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,16.758200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-approval-loan_reviewer-loan_screening,loan,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,16.171300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-credit-loan_approver-loan_approval,loan,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,16.232400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-credit-loan_approver-loan_screening,loan,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,15.190000,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-credit-loan_reviewer-loan_approval,loan,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,16.144900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-credit-loan_reviewer-loan_screening,loan,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,15.669700,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-customer-loan_approver-loan_approval,loan,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,13.954600,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-customer-loan_approver-loan_screening,loan,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,14.358300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-customer-loan_reviewer-loan_approval,loan,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,14.357100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T042521Z,PS-loan-customer-loan_reviewer-loan_screening,loan,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,14.224800,,allow,baseline_broad_authenticated_access,false
