mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,path,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-approval-loan_approver-loan_approval,aml,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,35.002000,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-approval-loan_approver-loan_screening,aml,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,7.992500,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-approval-loan_reviewer-loan_approval,aml,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,6.614500,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-approval-loan_reviewer-loan_screening,aml,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,10.328100,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-credit-loan_approver-loan_approval,aml,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,403,deny,7.876200,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-credit-loan_approver-loan_screening,aml,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,403,deny,7.730200,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-credit-loan_reviewer-loan_approval,aml,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,403,deny,6.343000,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-credit-loan_reviewer-loan_screening,aml,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,403,deny,6.486600,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-customer-loan_approver-loan_approval,aml,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,7.032200,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-customer-loan_approver-loan_screening,aml,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,6.080000,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-customer-loan_reviewer-loan_approval,aml,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,6.522000,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-customer-loan_reviewer-loan_screening,aml,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,5.816500,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-loan-loan_approver-loan_approval,aml,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,403,deny,8.055100,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-loan-loan_approver-loan_screening,aml,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,5.229600,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-loan-loan_reviewer-loan_approval,aml,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,403,deny,7.818300,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-aml-loan-loan_reviewer-loan_screening,aml,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,5.939900,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-aml-loan_approver-loan_approval,approval,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,403,deny,10.699400,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-aml-loan_approver-loan_screening,approval,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,403,deny,5.217100,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-aml-loan_reviewer-loan_approval,approval,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,403,deny,8.012100,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-aml-loan_reviewer-loan_screening,approval,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,403,deny,5.695300,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-credit-loan_approver-loan_approval,approval,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,403,deny,6.484100,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-credit-loan_approver-loan_screening,approval,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,403,deny,6.395900,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-credit-loan_reviewer-loan_approval,approval,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,403,deny,5.748800,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-credit-loan_reviewer-loan_screening,approval,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,403,deny,6.988400,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-customer-loan_approver-loan_approval,approval,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,5.112000,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-customer-loan_approver-loan_screening,approval,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,6.646300,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-customer-loan_reviewer-loan_approval,approval,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,6.080400,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-customer-loan_reviewer-loan_screening,approval,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,5.382700,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-loan-loan_approver-loan_approval,approval,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,17.370100,,allow,role_based_microsegment_policy,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-loan-loan_approver-loan_screening,approval,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,6.642100,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-loan-loan_reviewer-loan_approval,approval,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,403,deny,5.387300,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-approval-loan-loan_reviewer-loan_screening,approval,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,7.183200,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-aml-loan_approver-loan_approval,credit,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,403,deny,20.783800,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-aml-loan_approver-loan_screening,credit,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,403,deny,5.426500,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-aml-loan_reviewer-loan_approval,credit,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,403,deny,7.181800,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-aml-loan_reviewer-loan_screening,credit,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,403,deny,5.604400,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-approval-loan_approver-loan_approval,credit,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,7.322300,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-approval-loan_approver-loan_screening,credit,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,5.919500,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-approval-loan_reviewer-loan_approval,credit,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,7.748600,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-approval-loan_reviewer-loan_screening,credit,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,5.316800,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-customer-loan_approver-loan_approval,credit,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,7.676600,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-customer-loan_approver-loan_screening,credit,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,5.821100,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-customer-loan_reviewer-loan_approval,credit,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,7.084800,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-customer-loan_reviewer-loan_screening,credit,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,5.962800,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-loan-loan_approver-loan_approval,credit,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,403,deny,6.978200,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-loan-loan_approver-loan_screening,credit,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,5.987200,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-loan-loan_reviewer-loan_approval,credit,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,403,deny,7.002900,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-credit-loan-loan_reviewer-loan_screening,credit,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,5.829800,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-aml-loan_approver-loan_approval,customer,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,403,deny,8.692200,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-aml-loan_approver-loan_screening,customer,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,403,deny,6.084600,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-aml-loan_reviewer-loan_approval,customer,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,403,deny,7.637100,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-aml-loan_reviewer-loan_screening,customer,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,403,deny,5.244400,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-approval-loan_approver-loan_approval,customer,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,5.904600,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-approval-loan_approver-loan_screening,customer,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,6.156400,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-approval-loan_reviewer-loan_approval,customer,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,5.551000,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-approval-loan_reviewer-loan_screening,customer,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,7.293400,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-credit-loan_approver-loan_approval,customer,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,403,deny,5.465300,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-credit-loan_approver-loan_screening,customer,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,403,deny,7.254600,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-credit-loan_reviewer-loan_approval,customer,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,403,deny,5.566500,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-credit-loan_reviewer-loan_screening,customer,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,403,deny,5.476900,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-loan-loan_approver-loan_approval,customer,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,403,deny,7.210100,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-loan-loan_approver-loan_screening,customer,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,5.671000,,deny,role_purpose_action_mismatch,false
policy_only,policyspace-policy_only-20260819T015722Z,PS-customer-loan-loan_reviewer-loan_approval,customer,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,403,deny,6.309400,,deny,role_purpose_action_mismatch,false
