mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
proposed,policyspace-proposed-20260818T021831Z,PS-aml-approval-loan_approver-loan_approval,aml,approval,loan_approver,loan_approval,/approval-requests,POST,403,deny,15.163700,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-approval-loan_approver-loan_screening,aml,approval,loan_approver,loan_screening,/approval-requests,POST,403,deny,8.694700,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-approval-loan_reviewer-loan_approval,aml,approval,loan_reviewer,loan_approval,/approval-requests,POST,403,deny,6.432200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-approval-loan_reviewer-loan_screening,aml,approval,loan_reviewer,loan_screening,/approval-requests,POST,403,deny,6.580500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-credit-loan_approver-loan_approval,aml,credit,loan_approver,loan_approval,/credit-assessment,POST,403,deny,7.511900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-credit-loan_approver-loan_screening,aml,credit,loan_approver,loan_screening,/credit-assessment,POST,403,deny,5.895600,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-credit-loan_reviewer-loan_approval,aml,credit,loan_reviewer,loan_approval,/credit-assessment,POST,403,deny,7.752500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-credit-loan_reviewer-loan_screening,aml,credit,loan_reviewer,loan_screening,/credit-assessment,POST,403,deny,5.890600,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-customer-loan_approver-loan_approval,aml,customer,loan_approver,loan_approval,/customer-profile/CASE-0001,GET,403,deny,7.803000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-customer-loan_approver-loan_screening,aml,customer,loan_approver,loan_screening,/customer-profile/CASE-0001,GET,403,deny,5.794500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-customer-loan_reviewer-loan_approval,aml,customer,loan_reviewer,loan_approval,/customer-profile/CASE-0001,GET,403,deny,7.640800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-customer-loan_reviewer-loan_screening,aml,customer,loan_reviewer,loan_screening,/customer-profile/CASE-0001,GET,403,deny,6.846600,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-loan-loan_approver-loan_approval,aml,loan,loan_approver,loan_approval,/loan-review/CASE-0001,GET,403,deny,5.945500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-loan-loan_approver-loan_screening,aml,loan,loan_approver,loan_screening,/loan-review/CASE-0001,GET,403,deny,7.279800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-loan-loan_reviewer-loan_approval,aml,loan,loan_reviewer,loan_approval,/loan-review/CASE-0001,GET,403,deny,5.380300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-aml-loan-loan_reviewer-loan_screening,aml,loan,loan_reviewer,loan_screening,/loan-review/CASE-0001,GET,403,deny,7.727300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-approval-aml-loan_approver-loan_approval,approval,aml,loan_approver,loan_approval,/aml-screening,POST,403,deny,31.957900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-approval-aml-loan_approver-loan_screening,approval,aml,loan_approver,loan_screening,/aml-screening,POST,403,deny,5.428000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-approval-aml-loan_reviewer-loan_approval,approval,aml,loan_reviewer,loan_approval,/aml-screening,POST,403,deny,6.516300,,deny,role_purpose_action_mismatch,false
