mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,path,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
proposed,policyspace-proposed-20260819T023031Z,PS-aml-approval-loan_approver-loan_approval,aml,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,39.041000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-aml-approval-loan_approver-loan_screening,aml,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,7.797300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-aml-approval-loan_reviewer-loan_approval,aml,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,6.444800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-aml-approval-loan_reviewer-loan_screening,aml,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,6.099500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-aml-credit-loan_approver-loan_approval,aml,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,403,deny,6.514900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-aml-credit-loan_approver-loan_screening,aml,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,403,deny,6.668200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-aml-credit-loan_reviewer-loan_approval,aml,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,403,deny,5.509600,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-aml-credit-loan_reviewer-loan_screening,aml,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,403,deny,6.778900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-aml-customer-loan_approver-loan_approval,aml,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,5.463800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-aml-customer-loan_approver-loan_screening,aml,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,6.624800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-aml-customer-loan_reviewer-loan_approval,aml,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,6.164900,,deny,role_purpose_action_mismatch,false
