mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-approval-loan_approver-loan_approval,aml,approval,loan_approver,loan_approval,/approval-requests,POST,200,allow,38.234100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-approval-loan_approver-loan_screening,aml,approval,loan_approver,loan_screening,/approval-requests,POST,200,allow,17.306100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-approval-loan_reviewer-loan_approval,aml,approval,loan_reviewer,loan_approval,/approval-requests,POST,200,allow,15.934000,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-approval-loan_reviewer-loan_screening,aml,approval,loan_reviewer,loan_screening,/approval-requests,POST,200,allow,16.925300,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-credit-loan_approver-loan_approval,aml,credit,loan_approver,loan_approval,/credit-assessment,POST,200,allow,18.301900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-credit-loan_approver-loan_screening,aml,credit,loan_approver,loan_screening,/credit-assessment,POST,200,allow,15.748500,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-credit-loan_reviewer-loan_approval,aml,credit,loan_reviewer,loan_approval,/credit-assessment,POST,200,allow,16.298900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-credit-loan_reviewer-loan_screening,aml,credit,loan_reviewer,loan_screening,/credit-assessment,POST,200,allow,16.621100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-customer-loan_approver-loan_approval,aml,customer,loan_approver,loan_approval,/customer-profile/CASE-0001,GET,200,allow,15.551900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-customer-loan_approver-loan_screening,aml,customer,loan_approver,loan_screening,/customer-profile/CASE-0001,GET,200,allow,14.215900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-customer-loan_reviewer-loan_approval,aml,customer,loan_reviewer,loan_approval,/customer-profile/CASE-0001,GET,200,allow,14.114200,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-customer-loan_reviewer-loan_screening,aml,customer,loan_reviewer,loan_screening,/customer-profile/CASE-0001,GET,200,allow,13.793800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-loan-loan_approver-loan_approval,aml,loan,loan_approver,loan_approval,/loan-review/CASE-0001,GET,200,allow,15.444800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-loan-loan_approver-loan_screening,aml,loan,loan_approver,loan_screening,/loan-review/CASE-0001,GET,200,allow,13.864500,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-loan-loan_reviewer-loan_approval,aml,loan,loan_reviewer,loan_approval,/loan-review/CASE-0001,GET,200,allow,13.853200,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-aml-loan-loan_reviewer-loan_screening,aml,loan,loan_reviewer,loan_screening,/loan-review/CASE-0001,GET,200,allow,14.008800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-aml-loan_approver-loan_approval,approval,aml,loan_approver,loan_approval,/aml-screening,POST,200,allow,20.069000,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-aml-loan_approver-loan_screening,approval,aml,loan_approver,loan_screening,/aml-screening,POST,200,allow,16.000900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-aml-loan_reviewer-loan_approval,approval,aml,loan_reviewer,loan_approval,/aml-screening,POST,200,allow,15.970100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-aml-loan_reviewer-loan_screening,approval,aml,loan_reviewer,loan_screening,/aml-screening,POST,200,allow,17.995700,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-credit-loan_approver-loan_approval,approval,credit,loan_approver,loan_approval,/credit-assessment,POST,200,allow,15.497200,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-credit-loan_approver-loan_screening,approval,credit,loan_approver,loan_screening,/credit-assessment,POST,200,allow,15.056600,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-credit-loan_reviewer-loan_approval,approval,credit,loan_reviewer,loan_approval,/credit-assessment,POST,200,allow,17.128700,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-credit-loan_reviewer-loan_screening,approval,credit,loan_reviewer,loan_screening,/credit-assessment,POST,200,allow,16.245000,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-customer-loan_approver-loan_approval,approval,customer,loan_approver,loan_approval,/customer-profile/CASE-0001,GET,200,allow,14.359400,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-customer-loan_approver-loan_screening,approval,customer,loan_approver,loan_screening,/customer-profile/CASE-0001,GET,200,allow,14.721100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-customer-loan_reviewer-loan_approval,approval,customer,loan_reviewer,loan_approval,/customer-profile/CASE-0001,GET,200,allow,13.972000,,allow,baseline_broad_authenticated_access,false
