mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,path,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-approval-loan_approver-loan_approval,aml,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,34.770900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-approval-loan_approver-loan_screening,aml,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,19.217900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-approval-loan_reviewer-loan_approval,aml,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,18.694800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-approval-loan_reviewer-loan_screening,aml,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,20.120800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-credit-loan_approver-loan_approval,aml,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,19.748800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-credit-loan_approver-loan_screening,aml,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,18.373900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-credit-loan_reviewer-loan_approval,aml,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,16.864500,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-credit-loan_reviewer-loan_screening,aml,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,17.081000,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-customer-loan_approver-loan_approval,aml,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,16.972600,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-customer-loan_approver-loan_screening,aml,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,16.018500,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-customer-loan_reviewer-loan_approval,aml,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,15.641400,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-customer-loan_reviewer-loan_screening,aml,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,17.407100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-loan-loan_approver-loan_approval,aml,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,17.962400,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-loan-loan_approver-loan_screening,aml,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,14.706000,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-loan-loan_reviewer-loan_approval,aml,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.217900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-aml-loan-loan_reviewer-loan_screening,aml,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,14.103900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-aml-loan_approver-loan_approval,approval,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,46.001200,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-aml-loan_approver-loan_screening,approval,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,16.305300,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-aml-loan_reviewer-loan_approval,approval,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,16.474200,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-aml-loan_reviewer-loan_screening,approval,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,17.670600,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-credit-loan_approver-loan_approval,approval,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,17.340100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-credit-loan_approver-loan_screening,approval,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,17.538800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-credit-loan_reviewer-loan_approval,approval,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,15.712900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-credit-loan_reviewer-loan_screening,approval,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,16.154400,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-customer-loan_approver-loan_approval,approval,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,14.029700,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-customer-loan_approver-loan_screening,approval,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,14.580300,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-customer-loan_reviewer-loan_approval,approval,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,14.777400,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-customer-loan_reviewer-loan_screening,approval,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,15.588500,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-loan-loan_approver-loan_approval,approval,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.474000,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-loan-loan_approver-loan_screening,approval,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,16.218700,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-loan-loan_reviewer-loan_approval,approval,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.756800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-approval-loan-loan_reviewer-loan_screening,approval,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,14.468900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-aml-loan_approver-loan_approval,credit,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,45.747100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-aml-loan_approver-loan_screening,credit,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,18.581100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-aml-loan_reviewer-loan_approval,credit,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,20.856500,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-aml-loan_reviewer-loan_screening,credit,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,20.808100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-approval-loan_approver-loan_approval,credit,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,19.015600,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-approval-loan_approver-loan_screening,credit,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,19.229100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-approval-loan_reviewer-loan_approval,credit,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,18.230800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-approval-loan_reviewer-loan_screening,credit,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,17.611300,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-customer-loan_approver-loan_approval,credit,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,18.295500,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-customer-loan_approver-loan_screening,credit,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,15.760100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-customer-loan_reviewer-loan_approval,credit,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,15.858000,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-customer-loan_reviewer-loan_screening,credit,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,16.984600,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-loan-loan_approver-loan_approval,credit,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.097100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-loan-loan_approver-loan_screening,credit,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.800100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-loan-loan_reviewer-loan_approval,credit,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,18.209100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-credit-loan-loan_reviewer-loan_screening,credit,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,16.385200,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-aml-loan_approver-loan_approval,customer,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,37.064500,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-aml-loan_approver-loan_screening,customer,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,17.478900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-aml-loan_reviewer-loan_approval,customer,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,17.306600,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-aml-loan_reviewer-loan_screening,customer,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,18.774600,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-approval-loan_approver-loan_approval,customer,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,18.977900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-approval-loan_approver-loan_screening,customer,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,16.923400,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-approval-loan_reviewer-loan_approval,customer,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,18.446600,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-approval-loan_reviewer-loan_screening,customer,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,20.532800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-credit-loan_approver-loan_approval,customer,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,18.233700,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-credit-loan_approver-loan_screening,customer,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,16.537000,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-credit-loan_reviewer-loan_approval,customer,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,17.280200,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-credit-loan_reviewer-loan_screening,customer,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,17.398800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-loan-loan_approver-loan_approval,customer,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.225100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-loan-loan_approver-loan_screening,customer,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.387300,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-loan-loan_reviewer-loan_approval,customer,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.529900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-customer-loan-loan_reviewer-loan_screening,customer,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,200,allow,15.318800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-loan-aml-loan_approver-loan_approval,loan,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,31.218600,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-loan-aml-loan_approver-loan_screening,loan,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,16.009600,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-loan-aml-loan_reviewer-loan_approval,loan,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,200,allow,16.327400,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-loan-aml-loan_reviewer-loan_screening,loan,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,16.760000,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-loan-approval-loan_approver-loan_approval,loan,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,16.836800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-loan-approval-loan_approver-loan_screening,loan,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,16.830800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-loan-approval-loan_reviewer-loan_approval,loan,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,15.961400,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-loan-approval-loan_reviewer-loan_screening,loan,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,200,allow,15.958200,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-loan-credit-loan_approver-loan_approval,loan,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,16.287300,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-loan-credit-loan_approver-loan_screening,loan,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,19.797100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-loan-credit-loan_reviewer-loan_approval,loan,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,200,allow,17.461900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260819T021355Z,PS-loan-credit-loan_reviewer-loan_screening,loan,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,18.912200,,allow,baseline_broad_authenticated_access,false
