source_container,target_host,target_port,relationship,mode,reachable,elapsed_ms,returncode,error
customer_app,customer_db,5432,own_db,policy_only,true,2.169,0,
customer_app,loan_db,5432,cross_business_db,policy_only,true,2.188,0,
customer_app,credit_db,5432,cross_business_db,policy_only,true,2.182,0,
customer_app,aml_db,5432,cross_business_db,policy_only,true,2.750,0,
customer_app,approval_db,5432,cross_business_db,policy_only,true,2.554,0,
loan_app,loan_db,5432,own_db,policy_only,true,1.966,0,
loan_app,customer_db,5432,cross_business_db,policy_only,true,3.032,0,
loan_app,credit_db,5432,cross_business_db,policy_only,true,2.145,0,
loan_app,aml_db,5432,cross_business_db,policy_only,true,3.042,0,
loan_app,approval_db,5432,cross_business_db,policy_only,true,2.959,0,
credit_app,credit_db,5432,own_db,policy_only,true,2.362,0,
credit_app,customer_db,5432,cross_business_db,policy_only,true,2.822,0,
credit_app,loan_db,5432,cross_business_db,policy_only,true,2.305,0,
credit_app,aml_db,5432,cross_business_db,policy_only,true,2.620,0,
credit_app,approval_db,5432,cross_business_db,policy_only,true,2.394,0,
aml_app,aml_db,5432,own_db,policy_only,true,2.103,0,
aml_app,customer_db,5432,cross_business_db,policy_only,true,2.603,0,
aml_app,loan_db,5432,cross_business_db,policy_only,true,2.619,0,
aml_app,credit_db,5432,cross_business_db,policy_only,true,2.335,0,
aml_app,approval_db,5432,cross_business_db,policy_only,true,2.321,0,
approval_app,approval_db,5432,own_db,policy_only,true,2.366,0,
approval_app,customer_db,5432,cross_business_db,policy_only,true,2.582,0,
approval_app,loan_db,5432,cross_business_db,policy_only,true,3.137,0,
approval_app,credit_db,5432,cross_business_db,policy_only,true,2.435,0,
approval_app,aml_db,5432,cross_business_db,policy_only,true,2.289,0,
customer_app,loan_app,8000,cross_business_app,policy_only,true,2.363,0,
customer_app,credit_app,8000,cross_business_app,policy_only,true,2.478,0,
customer_app,aml_app,8000,cross_business_app,policy_only,true,2.235,0,
customer_app,approval_app,8000,cross_business_app,policy_only,true,2.428,0,
loan_app,customer_app,8000,cross_business_app,policy_only,true,2.187,0,
loan_app,credit_app,8000,cross_business_app,policy_only,true,3.495,0,
loan_app,aml_app,8000,cross_business_app,policy_only,true,2.502,0,
loan_app,approval_app,8000,cross_business_app,policy_only,true,2.426,0,
credit_app,customer_app,8000,cross_business_app,policy_only,true,2.038,0,
credit_app,loan_app,8000,cross_business_app,policy_only,true,2.083,0,
credit_app,aml_app,8000,cross_business_app,policy_only,true,2.264,0,
credit_app,approval_app,8000,cross_business_app,policy_only,true,2.494,0,
aml_app,customer_app,8000,cross_business_app,policy_only,true,2.115,0,
aml_app,loan_app,8000,cross_business_app,policy_only,true,2.067,0,
aml_app,credit_app,8000,cross_business_app,policy_only,true,2.263,0,
aml_app,approval_app,8000,cross_business_app,policy_only,true,2.199,0,
approval_app,customer_app,8000,cross_business_app,policy_only,true,2.153,0,
approval_app,loan_app,8000,cross_business_app,policy_only,true,2.138,0,
approval_app,credit_app,8000,cross_business_app,policy_only,true,2.326,0,
approval_app,aml_app,8000,cross_business_app,policy_only,true,2.112,0,
