source_container,target_host,target_port,relationship,mode,reachable,elapsed_ms,returncode,error
customer_app,customer_db,5432,own_db,segmentation_only,true,2.111,0,
customer_app,loan_db,5432,cross_business_db,segmentation_only,false,3945.796,1,gaierror: [Errno -2] Name or service not known
customer_app,credit_db,5432,cross_business_db,segmentation_only,false,3943.028,1,gaierror: [Errno -2] Name or service not known
customer_app,aml_db,5432,cross_business_db,segmentation_only,false,3942.266,1,gaierror: [Errno -2] Name or service not known
customer_app,approval_db,5432,cross_business_db,segmentation_only,false,3939.677,1,gaierror: [Errno -2] Name or service not known
loan_app,loan_db,5432,own_db,segmentation_only,true,2.423,0,
loan_app,customer_db,5432,cross_business_db,segmentation_only,false,3941.826,1,gaierror: [Errno -2] Name or service not known
loan_app,credit_db,5432,cross_business_db,segmentation_only,false,3952.519,1,gaierror: [Errno -2] Name or service not known
loan_app,aml_db,5432,cross_business_db,segmentation_only,false,3943.971,1,gaierror: [Errno -2] Name or service not known
loan_app,approval_db,5432,cross_business_db,segmentation_only,false,3943.773,1,gaierror: [Errno -2] Name or service not known
credit_app,credit_db,5432,own_db,segmentation_only,true,2.215,0,
credit_app,customer_db,5432,cross_business_db,segmentation_only,false,3935.251,1,gaierror: [Errno -2] Name or service not known
credit_app,loan_db,5432,cross_business_db,segmentation_only,false,3941.137,1,gaierror: [Errno -2] Name or service not known
credit_app,aml_db,5432,cross_business_db,segmentation_only,false,3950.667,1,gaierror: [Errno -2] Name or service not known
credit_app,approval_db,5432,cross_business_db,segmentation_only,false,3919.719,1,gaierror: [Errno -2] Name or service not known
aml_app,aml_db,5432,own_db,segmentation_only,true,2.537,0,
aml_app,customer_db,5432,cross_business_db,segmentation_only,false,3948.014,1,gaierror: [Errno -2] Name or service not known
aml_app,loan_db,5432,cross_business_db,segmentation_only,false,3934.255,1,gaierror: [Errno -2] Name or service not known
aml_app,credit_db,5432,cross_business_db,segmentation_only,false,3935.238,1,gaierror: [Errno -2] Name or service not known
aml_app,approval_db,5432,cross_business_db,segmentation_only,false,3963.970,1,gaierror: [Errno -2] Name or service not known
approval_app,approval_db,5432,own_db,segmentation_only,true,2.539,0,
approval_app,customer_db,5432,cross_business_db,segmentation_only,false,3967.064,1,gaierror: [Errno -2] Name or service not known
approval_app,loan_db,5432,cross_business_db,segmentation_only,false,3952.013,1,gaierror: [Errno -2] Name or service not known
approval_app,credit_db,5432,cross_business_db,segmentation_only,false,3955.623,1,gaierror: [Errno -2] Name or service not known
approval_app,aml_db,5432,cross_business_db,segmentation_only,false,3953.874,1,gaierror: [Errno -2] Name or service not known
customer_app,loan_app,8000,cross_business_app,segmentation_only,false,3980.463,1,gaierror: [Errno -2] Name or service not known
customer_app,credit_app,8000,cross_business_app,segmentation_only,false,3989.718,1,gaierror: [Errno -2] Name or service not known
customer_app,aml_app,8000,cross_business_app,segmentation_only,false,3977.619,1,gaierror: [Errno -2] Name or service not known
customer_app,approval_app,8000,cross_business_app,segmentation_only,false,3982.530,1,gaierror: [Errno -2] Name or service not known
loan_app,customer_app,8000,cross_business_app,segmentation_only,false,3982.732,1,gaierror: [Errno -2] Name or service not known
loan_app,credit_app,8000,cross_business_app,segmentation_only,false,3934.239,1,gaierror: [Errno -2] Name or service not known
loan_app,aml_app,8000,cross_business_app,segmentation_only,false,3948.762,1,gaierror: [Errno -2] Name or service not known
loan_app,approval_app,8000,cross_business_app,segmentation_only,false,3942.749,1,gaierror: [Errno -2] Name or service not known
credit_app,customer_app,8000,cross_business_app,segmentation_only,false,3952.228,1,gaierror: [Errno -2] Name or service not known
credit_app,loan_app,8000,cross_business_app,segmentation_only,false,3928.577,1,gaierror: [Errno -2] Name or service not known
credit_app,aml_app,8000,cross_business_app,segmentation_only,false,3940.984,1,gaierror: [Errno -2] Name or service not known
credit_app,approval_app,8000,cross_business_app,segmentation_only,false,3936.178,1,gaierror: [Errno -2] Name or service not known
aml_app,customer_app,8000,cross_business_app,segmentation_only,false,3932.388,1,gaierror: [Errno -2] Name or service not known
aml_app,loan_app,8000,cross_business_app,segmentation_only,false,3948.722,1,gaierror: [Errno -2] Name or service not known
aml_app,credit_app,8000,cross_business_app,segmentation_only,false,3949.841,1,gaierror: [Errno -2] Name or service not known
aml_app,approval_app,8000,cross_business_app,segmentation_only,false,3950.750,1,gaierror: [Errno -2] Name or service not known
approval_app,customer_app,8000,cross_business_app,segmentation_only,false,3958.606,1,gaierror: [Errno -2] Name or service not known
approval_app,loan_app,8000,cross_business_app,segmentation_only,false,3951.552,1,gaierror: [Errno -2] Name or service not known
approval_app,credit_app,8000,cross_business_app,segmentation_only,false,3955.147,1,gaierror: [Errno -2] Name or service not known
approval_app,aml_app,8000,cross_business_app,segmentation_only,false,3957.900,1,gaierror: [Errno -2] Name or service not known
